frame,point_index,x,y,z
0,0,2.3048708508611573,2.114236893975797,1.6437986700186316
0,1,2.2342325249504005,2.216802939115056,0.884571518577507
0,2,1.9235324884406482,1.6023746735432864,0.8937444679588279
0,3,1.9726871101881884,1.4731813423744922,1.641595036562231
0,4,2.1074165317052556,1.8507797716494325,1.255934338842418
1,0,2.13036054964465,2.3648218448493235,1.4759654934801265
1,1,2.2559637503229535,2.185535650803334,0.8978584510772131
1,2,1.926889415414984,1.5876826009540945,0.9017424837514679
1,3,1.973982956954094,1.4635272570958842,1.6356728471527235
1,4,2.075633411667619,1.9181374767925379,1.2292190103496456
2,0,2.2688130181626955,2.166134183372378,1.5945058689964264
2,1,2.266971580824713,2.169502993115202,0.912962147886642
2,2,1.9293435678758608,1.595167609574733,0.9035206461007164
2,3,1.9308287535579174,1.57354700549396,1.5925156293904181
2,4,2.1247731968641492,1.8336939685739935,1.2578831920783196
3,0,2.295312788025031,2.1340212559669647,1.6201979331997454
3,1,2.2311159790861153,2.2092460906053075,0.9095698547672306
3,2,1.9354827015935039,1.568074415223561,0.9049740145273462
3,3,1.9256758863420025,1.5863084889900785,1.5940565798329143
3,4,2.1124514943628014,1.849566192107602,1.2585388040731542
4,0,2.2647381023803312,2.17573115611802,1.6050984153693755
4,1,2.249098446226083,2.1865180606614336,0.9093905183883852
4,2,1.9402267063415515,1.565548487336703,0.9117612360875551
4,3,1.9867650588127992,1.4733287733904623,1.6324057778033223
4,4,2.1029336455812264,1.866489595909398,1.2562160302630392
5,0,2.261943828379704,2.1707800399945434,1.606738360759039
5,1,2.266489230716531,2.169903355545651,0.903109587593771
5,2,1.9083732634370894,1.6065246835954554,0.9209319928818933
5,3,1.9895005317688292,1.4684445455631514,1.6264866698598222
5,4,2.083402937717975,1.8794475797138497,1.2557515125279584
6,0,2.2737173961726715,2.1642254826165077,1.608349371715113
6,1,2.2680398427071546,2.1697680309457255,0.9025256541874802
6,2,1.9359519078901863,1.5518832431613907,0.9109218508606993
6,3,1.905626298392581,1.6080799298430402,1.5924931495735253
6,4,2.1055149523427126,1.854536199316457,1.2572545190852873
7,0,2.2664062600088255,2.166840011540262,1.607158995671469
7,1,2.2734317388922953,2.1632449982100233,0.899693330806089
7,2,1.9422888414460955,1.541123201314832,0.9036260908433424
7,3,1.954997828100526,1.5189788876638621,1.6112241579976971
7,4,2.124117862205677,1.8365718337101413,1.2504696888197122
8,0,1.9061364887568935,2.158321470634572,1.3450719118747219
8,1,1.867890435216208,2.195204928823574,1.1354732174539413
8,2,1.7788726443503557,2.009193849519807,1.2893557556008164
8,3,1.821095073096081,2.0700455121507915,1.4242028622832537
8,4,1.9696387012204097,1.9521149016648836,1.2785454943129881
9,0,2.01895816508187,1.7118577968939017,1.2764386644790147
9,1,2.030419333268834,1.7156772975284797,1.3342681122542008
9,2,2.091806411384039,1.8154828475003306,1.1732324640721319
9,3,1.9731650234068918,1.7491495046052048,1.1435700094737289
9,4,2.026261274692282,1.7143514294271724,1.2791856894973055
10,0,4.843796973805949,2.758019629122774,1.3373157657503214
10,1,3.686581719926182,2.229741855734174,0.686266720207339
10,2,5.119641398714164,1.86181354129375,0.36158006663505177
10,3,5.5974313574328605,1.8959289528058196,1.3506701580941995
10,4,4.278085477538182,2.118076676519642,0.9022473861020747
11,0,4.813510501980334,2.7477250644702176,1.345577181285005
11,1,4.684081442683695,2.680542754592818,0.30579161227259977
11,2,5.2995043423329555,1.869152666660221,0.31299023587255087
11,3,5.227262543216412,1.8716446431788762,1.3222717752977822
11,4,5.682789465971565,2.437659413984716,0.7352421716363128
12,0,3.0793320065461964,1.8067790933957126,0.998862805903104
12,1,3.2905028307012993,1.8395867953665457,0.9773527429118072
12,2,3.413406118972597,1.8289766504886291,0.9607426057999522
12,3,3.218367873501811,1.812448818145326,1.0636812127625885
12,4,5.410088393982494,2.3795584280258373,0.7609321710829078
13,0,3.7772107168891202,1.831745095591598,1.0259389961978627
13,1,3.5929405738551923,1.8137445572683004,1.011040858532055
13,2,3.278247187735592,1.7349560318345623,1.0972022960799395
13,3,3.588647897333282,1.7892848150865237,0.9343841621719011
13,4,5.10727115937733,2.2929117369872345,0.8004584947781128
14,0,4.7541643633114425,2.702123878320582,1.3260980209260742
14,1,4.758816169117038,2.711561896268983,0.26984038702121554
14,2,5.346234950377763,1.863753581817504,0.2979814401992009
14,3,5.36494379601319,1.8676721350888883,1.3205535892969897
14,4,5.059440621264486,2.2795400034701627,0.8044355273019567
15,0,4.769983886080146,2.7183460178524417,1.3364423538043217
15,1,4.768827423064067,2.718256178986083,0.2643528247911821
15,2,5.373294109244113,1.8690384977095267,0.29118501143506725
15,3,5.386967667070171,1.8686558400547986,1.3225210753697954
