x,y,z,yaw
0.05160759761929512,-0.03899657353758812,0.6872163414955139,0
0.04821920767426491,-0.042437274008989334,0.7047346234321594,0
0.045393817126750946,-0.04363938793540001,0.7149125933647156,0
0.04457937926054001,-0.04129856824874878,0.7218632102012634,0
0.04301275685429573,-0.031965840607881546,0.7180141806602478,0
0.04006332904100418,-0.030818307772278786,0.7194888591766357,0
0.03160376846790314,-0.022866204380989075,0.7162115573883057,0
0.026625201106071472,-0.01449292991310358,0.710751473903656,0
0.023174995556473732,-0.0081447409465909,0.7047061324119568,0
0.02133096195757389,-0.0024024881422519684,0.6983785033226013,0
0.023395607247948647,0.002354974392801523,0.692255973815918,0
0.020023243501782417,0.002276684157550335,0.6865556836128235,0
0.019864317029714584,0.005834477953612804,0.6815261244773865,0
0.026631858199834824,-0.0003527241642586887,0.6771442890167236,0
0.03195904940366745,0.00015000376151874661,0.6720513701438904,0
0.042156219482421875,-0.01221412979066372,0.6676576137542725,0
0.061929527670145035,-0.02441326342523098,0.663963258266449,0
0.07544635236263275,-0.034320756793022156,0.6668074131011963,0
0.09739688783884048,-0.04948791489005089,0.6677581071853638,0
0.12641781568527222,-0.06314016878604889,0.6707533001899719,0
0.1580681949853897,-0.08637043088674545,0.6738536953926086,0
0.18584731221199036,-0.10250610113143921,0.6764230132102966,0
0.21999043226242065,-0.1168258786201477,0.6825814247131348,0
0.25907179713249207,-0.1344476342201233,0.6874198317527771,0
0.29890745878219604,-0.14940395951271057,0.695777177810669,0
0.34675100445747375,-0.16634684801101685,0.7025929093360901,0
0.3811962902545929,-0.17567448318004608,0.7124946117401123,0
0.43330398201942444,-0.19133035838603973,0.7233079671859741,0
0.48395341634750366,-0.20158199965953827,0.7344679236412048,0
0.5346063375473022,-0.2080286145210266,0.7480229735374451,0
0.5873857736587524,-0.21419179439544678,0.7587800621986389,0
0.6374720335006714,-0.21433401107788086,0.7744826674461365,0
0.6883981823921204,-0.21342428028583527,0.7872208952903748,0
0.7301545739173889,-0.21892531216144562,0.7956952452659607,0
0.7757489085197449,-0.2134689837694168,0.8050642609596252,0
0.8197701573371887,-0.2025662213563919,0.8134288191795349,0
0.8623300194740295,-0.1859106421470642,0.8203485012054443,0
0.8804190754890442,-0.24001483619213104,0.8144240975379944,0
0.841143012046814,-0.3409578800201416,0.785760760307312,0
0.8680324554443359,-0.34534841775894165,0.7840714454650879,0
1.0836162567138672,-0.08277463167905807,0.8583256006240845,0
1.1357589960098267,-0.04044126719236374,0.8639814853668213,0
1.1780802011489868,0.00024944497272372246,0.8652081489562988,0
1.219379186630249,0.04043019562959671,0.8721299171447754,0
1.2443976402282715,0.07506491243839264,0.8667618036270142,0
1.2529910802841187,0.09397000819444656,0.8639802932739258,0
1.2606854438781738,0.10637417435646057,0.8488171696662903,0
1.263951301574707,0.15287233889102936,0.8403306007385254,0
1.2612098455429077,0.18741676211357117,0.8240725994110107,0
1.2552582025527954,0.20705054700374603,0.8036255836486816,0
1.2530550956726074,0.23722514510154724,0.7818421721458435,0
1.215766191482544,0.2749306559562683,0.7603023052215576,0
1.1984562873840332,0.2920689880847931,0.7399747967720032,0
1.1752278804779053,0.3125098645687103,0.71663498878479,0
1.149133324623108,0.3381819725036621,0.6989997029304504,0
1.1269350051879883,0.3600221276283264,0.6746849417686462,0
1.0919818878173828,0.3802659809589386,0.6491346955299377,0
1.0596568584442139,0.39553019404411316,0.6285871267318726,0
